# f, real(s11), imag(s11), abs(s21), real(s22), imag(s22)
5.000000000000000000e+01 3.308995740251278149e-03 1.032495675084517178e-03 9.981117936038014227e-01 9.864486979731538954e-04 1.248777730941002563e-03
5.000610352000000347e+01 3.309215633669899438e-03 1.032464290744317809e-03 9.981116928910098718e-01 9.866241308505415211e-04 1.248771821429529947e-03
5.001220702999999901e+01 3.309435542380962519e-03 1.032432825049730152e-03 9.981115880693065545e-01 9.867995685058771494e-04 1.248765950932507638e-03
5.001831055000000248e+01 3.309655467047557201e-03 1.032401277960832151e-03 9.981114792470967556e-01 9.869750115002341034e-04 1.248760119355948536e-03
5.002441405999999802e+01 3.309875406891581509e-03 1.032369649644150969e-03 9.981113665317908890e-01 9.871504592449157570e-04 1.248754326644284894e-03
5.003051758000000149e+01 3.310095362576332117e-03 1.032337940059162599e-03 9.981112500284079481e-01 9.873259123010244900e-04 1.248748572703929464e-03
5.003662108999999703e+01 3.310315333323707917e-03 1.032306149372856944e-03 9.981111298410771937e-01 9.875013700798278976e-04 1.248742857479203478e-03
5.004272461000000050e+01 3.310535319797215052e-03 1.032274277544111517e-03 9.981110060715031596e-01 9.876768331424565488e-04 1.248737180876917157e-03
5.004882812000000314e+01 3.310755321218758485e-03 1.032242324740378957e-03 9.981108788205969029e-01 9.878523009001416097e-04 1.248731542841282011e-03
5.005493163999999950e+01 3.310975338252049923e-03 1.032210290919936563e-03 9.981107481868429776e-01 9.880277739140427059e-04 1.248725943279504862e-03
5.006103516000000297e+01 3.311195370479511069e-03 1.032178176198016379e-03 9.981106142677699244e-01 9.882032518828628726e-04 1.248720382126608606e-03
5.006713866999999851e+01 3.311415417483522423e-03 1.032145980690346576e-03 9.981104771593715119e-01 9.883787345052687159e-04 1.248714859317435512e-03
5.007324219000000198e+01 3.311635479928101439e-03 1.032113704354307385e-03 9.981103369554180649e-01 9.885542223424645305e-04 1.248709374759785244e-03
5.007934569999999752e+01 3.311855557035167825e-03 1.032081347358505905e-03 9.981101937490725051e-01 9.887297148055917105e-04 1.248703928397598478e-03
5.008544922000000099e+01 3.312075649468946333e-03 1.032048909659724970e-03 9.981100476310502678e-01 9.889052124558825232e-04 1.248698520139068660e-03
5.009155272999999653e+01 3.312295756451365345e-03 1.032016391427031162e-03 9.981098986915274418e-01 9.890807147044434512e-04 1.248693149928029348e-03
5.009765625000000000e+01 3.312515878646849973e-03 1.031983792616611439e-03 9.981097470182445086e-01 9.892562221125353848e-04 1.248687817673066903e-03
5.010375977000000347e+01 3.312736015638021846e-03 1.031951113344385662e-03 9.981095926982050948e-01 9.894317343787932713e-04 1.248682523309265152e-03
5.010986327999999901e+01 3.312956167007456623e-03 1.031918353726766352e-03 9.981094358169942948e-01 9.896072512018173634e-04 1.248677266771530767e-03
5.011596680000000248e+01 3.313176333419886460e-03 1.031885513719047517e-03 9.981092764580020704e-01 9.897827731429130037e-04 1.248672047969037746e-03
5.012207030999999802e+01 3.313396514097257523e-03 1.031852593491442826e-03 9.981091147042319145e-01 9.899582996130992883e-04 1.248666866845354884e-03
5.012817383000000149e+01 3.313616709704505364e-03 1.031819592998652578e-03 9.981089506362611496e-01 9.901338311737099655e-04 1.248661723310043672e-03
5.013427733999999703e+01 3.313836919463587424e-03 1.031786512411348843e-03 9.981087843343439125e-01 9.903093672357298708e-04 1.248656617306571426e-03
5.014038086000000050e+01 3.314057144039634847e-03 1.031753351683636693e-03 9.981086158762996208e-01 9.904849083605215924e-04 1.248651548744887348e-03
5.014648437999999686e+01 3.314277383015470490e-03 1.031720110932119253e-03 9.981084453394074574e-01 9.906604542466539414e-04 1.248646517560141186e-03
5.015258788999999950e+01 3.314497635973872973e-03 1.031686790273890790e-03 9.981082727996459791e-01 9.908360045926649373e-04 1.248641523687309216e-03
5.015869141000000297e+01 3.314717903580275283e-03 1.031653389662166680e-03 9.981080983308183718e-01 9.910115599599594524e-04 1.248636567036922424e-03
5.016479491999999851e+01 3.314938185056661313e-03 1.031619909268761959e-03 9.981079220065631752e-01 9.911871197594388384e-04 1.248631647552188566e-03
5.017089844000000198e+01 3.315158481068663111e-03 1.031586349046300028e-03 9.981077438980962002e-01 9.913626845525368072e-04 1.248626765144025255e-03
5.017700194999999752e+01 3.315378790838279313e-03 1.031552709167051288e-03 9.981075640765193491e-01 9.915382537501217508e-04 1.248621919755539197e-03
5.018310547000000099e+01 3.315599115031337991e-03 1.031518989583049984e-03 9.981073826105081315e-01 9.917138279136564379e-04 1.248617111298031815e-03
5.018920897999999653e+01 3.315819452869852094e-03 1.031485190467019714e-03 9.981071995686799925e-01 9.918894064539763005e-04 1.248612339714508766e-03
5.019531250000000000e+01 3.316039805019845715e-03 1.031451311770404918e-03 9.981070150172368649e-01 9.920649899325727303e-04 1.248607604916655064e-03
5.020141602000000347e+01 3.316260171064402788e-03 1.031417353610679984e-03 9.981068290220705963e-01 9.922405780479360421e-04 1.248602906839710010e-03
5.020751952999999901e+01 3.316480550586568214e-03 1.031383316105807628e-03 9.981066416478812098e-01 9.924161704985238076e-04 1.248598245418741821e-03
5.021362305000000248e+01 3.316700944252661421e-03 1.031349199206348880e-03 9.981064529572665212e-01 9.925917678458718706e-04 1.248593620566008401e-03
5.021972655999999802e+01 3.316921351284729622e-03 1.031315003086160113e-03 9.981062630128902935e-01 9.927673695007336978e-04 1.248589032224266910e-03
5.022583008000000149e+01 3.317141772349287403e-03 1.031280727695214720e-03 9.981060718750199845e-01 9.929429760246731053e-04 1.248584480306156241e-03
5.023193358999999703e+01 3.317362206668394119e-03 1.031246373207820970e-03 9.981058796040341852e-01 9.931185868284125515e-04 1.248579964754335326e-03
5.023803711000000050e+01 3.317582654908762113e-03 1.031211939573365268e-03 9.981056862579263944e-01 9.932942024735440419e-04 1.248575485481822310e-03
5.024414062000000314e+01 3.317803116292465052e-03 1.031177426966606043e-03 9.981054918948428778e-01 9.934698223707590266e-04 1.248571042431178765e-03
5.025024413999999950e+01 3.318023591486406534e-03 1.031142835336345534e-03 9.981052965705581315e-01 9.936454470816768331e-04 1.248566635515800573e-03
5.025634766000000297e+01 3.318244080073939808e-03 1.031108164800922239e-03 9.981051003407205302e-01 9.938210763047131829e-04 1.248562264671022447e-03
5.026245116999999851e+01 3.318464581638381258e-03 1.031073415479159512e-03 9.981049032599036419e-01 9.939967097382523559e-04 1.248557929832011916e-03
5.026855469000000198e+01 3.318685096846923747e-03 1.031038587318980956e-03 9.981047053806587632e-01 9.941723479439579150e-04 1.248553630912729731e-03
5.027465819999999752e+01 3.318905624921683443e-03 1.031003680496268664e-03 9.981045067557839934e-01 9.943479903324432476e-04 1.248549367855498506e-03
5.028076172000000099e+01 3.319126166530046197e-03 1.030968694958362504e-03 9.981043074357422995e-01 9.945236374653998890e-04 1.248545140574654341e-03
