   # This file was created in 2015
   # frequency [MHz]   real(s11)   imag(s11)   real(s12s21)   imag(s12s21)   real(s22)   imag(s22)
   1.0000000000000000e+00   1.4608947634343547e-04   3.0999667894116478e-04   9.9965279068968127e-01  -5.2548517195712841e-03   1.1658179751923801e-04   6.1724964265876521e-06
   2.0000000000000000e+00   2.6665802155355714e-04   3.7589115077104820e-04   9.9949543666366580e-01  -1.0515493946662180e-02   1.4157720484181527e-04   1.9192108592388355e-04
   3.0000000000000000e+00   3.3791870947553560e-04   4.3528720557534193e-04   9.9928619257473661e-01  -1.5667565769109191e-02   2.0337325643195457e-04   2.9683649154004161e-04
   4.0000000000000000e+00   3.9876363594849732e-04   5.0170941206202808e-04   9.9908221858053547e-01  -2.0787284048311629e-02   2.6743792564672467e-04   3.5915281412720126e-04
   5.0000000000000000e+00   4.6067313866521271e-04   5.6077855210751265e-04   9.9887797597677497e-01  -2.5884497189621346e-02   3.0589087197467130e-04   4.1253239220077952e-04
   6.0000000000000000e+00   5.1073069729978295e-04   6.2168540473096106e-04   9.9861913044855721e-01  -3.0958255611996152e-02   3.7030176860985205e-04   4.5795967722954254e-04
   7.0000000000000000e+00   5.6681332201002866e-04   6.7268334955593832e-04   9.9836349994912577e-01  -3.6026325260162737e-02   4.2411807723337542e-04   4.9767963944266755e-04
   8.0000000000000000e+00   6.2028012269350842e-04   7.2092803367890474e-04   9.9807941624470964e-01  -4.1083088598494931e-02   4.7109340710313501e-04   5.2976354451604514e-04
   9.0000000000000000e+00   6.7186513029978811e-04   7.6348256529177661e-04   9.9776741279770431e-01  -4.6120659500569240e-02   5.0835121695375204e-04   5.5805588206362939e-04
   1.0000000000000000e+01   7.2130325490463187e-04   8.0154605806262826e-04   9.9744714060991113e-01  -5.1160927731082391e-02   5.6225657760921124e-04   5.8770952421218739e-04
   1.1000000000000000e+01   7.6766878254196948e-04   8.3811189879057311e-04   9.9709906322056563e-01  -5.6192570724832344e-02   6.0368070320142688e-04   6.0864756283042888e-04
   1.2000000000000000e+01   8.1437882540209719e-04   8.7217671849023433e-04   9.9672675375647546e-01  -6.1213499662308421e-02   6.3817657470641317e-04   6.3047601657702462e-04
   1.3000000000000000e+01   8.5598149946605013e-04   9.0379732227907649e-04   9.9633878862177461e-01  -6.6236543619109564e-02   6.8684791600879007e-04   6.4625594094955274e-04
   1.4000000000000000e+01   9.0097521511757744e-04   9.3341084070408759e-04   9.9592762869697915e-01  -7.1249928104571758e-02   7.2429616839613659e-04   6.6128011519045037e-04
   1.5000000000000000e+01   9.4256991113250666e-04   9.6201007968355686e-04   9.9548968219868872e-01  -7.6256349055709410e-02   7.5656340192327214e-04   6.7761302855283705e-04
   1.6000000000000000e+01   9.8296477101790405e-04   9.8796196348653522e-04   9.9503484334627579e-01  -8.1265522992210376e-02   7.9929457788999604e-04   6.8904292331328039e-04
   1.7000000000000000e+01   1.0219576681841246e-03   1.0148045655563528e-03   9.9454948723989278e-01  -8.6271764351589467e-02   8.3568330334783257e-04   6.9784298385456092e-04
   1.8000000000000000e+01   1.0615537145184095e-03   1.0394248393932634e-03   9.9403713728129217e-01  -9.1269675444494131e-02   8.6345709122644674e-04   7.1005170469925659e-04
   1.9000000000000000e+01   1.0976090032609762e-03   1.0628605968122466e-03   9.9351332154496774e-01  -9.6265260391955140e-02   9.0859946215629246e-04   7.1820854865815669e-04
   2.0000000000000000e+01   1.1358277573930984e-03   1.0857821118416347e-03   9.9295692464222873e-01  -1.0125480571293899e-01   9.4279643634658330e-04   7.2604232520828726e-04
   2.1000000000000000e+01   1.1740914282548762e-03   1.1063188427642911e-03   9.9237304210462007e-01  -1.0623915962181560e-01   9.6804025146500516e-04   7.3538904927725537e-04
